time,temp_avg_c,temp_max_c,temp_min_c
2000-01-01,21.407000000000032,23.38100000000003,19.999000000000024
2000-01-02,19.35075000000002,20.468000000000018,18.223000000000013
2000-01-03,18.94225000000003,20.516999999999996,17.886000000000024
2000-01-04,20.478500000000025,23.64300000000003,18.16700000000003
2000-01-05,21.913125000000022,23.771000000000015,20.297000000000025
2000-01-06,22.490250000000024,24.972000000000037,20.023000000000025
2000-01-07,22.26100000000003,25.075000000000045,19.607000000000028
2000-01-08,21.53362500000003,25.789000000000044,16.801000000000045
2000-01-09,22.24425000000003,24.897000000000048,19.600000000000023
2000-01-10,22.93062500000002,27.623000000000047,18.637
2000-01-11,23.69675000000003,27.027000000000044,20.150000000000034
2000-01-12,23.419875000000026,26.062000000000012,20.664000000000044
2000-01-13,23.50725000000002,26.398000000000025,20.748000000000047
2000-01-14,24.17200000000002,27.72800000000001,21.26400000000001
2000-01-15,24.230000000000025,27.64100000000002,21.357000000000028
2000-01-16,23.839125000000024,27.337000000000046,21.235000000000014
2000-01-17,24.34975000000002,28.249000000000024,21.372000000000014
2000-01-18,23.672625000000025,26.987000000000023,20.204000000000008
2000-01-19,22.431875000000026,24.668000000000006,21.28000000000003
2000-01-20,20.99637500000002,23.30400000000003,19.257000000000005
2000-01-21,20.107750000000017,25.165999999999997,14.358000000000004
2000-01-22,21.770875000000018,26.660000000000025,16.613
2000-01-23,21.096375000000023,26.75400000000002,14.813000000000045
2000-01-24,21.19800000000002,25.87900000000002,16.966000000000008
2000-01-25,22.886500000000026,26.668000000000006,20.259000000000015
2000-01-26,21.453125000000014,22.874000000000024,19.165999999999997
2000-01-27,18.332125000000033,19.456000000000017,17.028999999999996
2000-01-28,18.455250000000035,21.575000000000045,16.099000000000046
2000-01-29,16.495500000000014,21.979000000000042,10.867999999999995
2000-01-30,19.839750000000024,25.652000000000044,15.591000000000008
2000-01-31,21.88250000000002,26.04400000000004,18.69300000000004
2000-02-01,22.22775000000002,23.834000000000003,20.54000000000002
2000-02-02,21.28537500000003,22.874000000000024,19.734000000000037
2000-02-03,21.885875000000013,26.673000000000002,18.098000000000013
2000-02-04,23.38837500000001,26.617999999999995,21.00400000000002
2000-02-05,21.37262500000002,22.438000000000045,20.358000000000004
2000-02-06,19.83500000000003,24.11500000000001,15.424000000000035
2000-02-07,19.86537500000003,23.275000000000034,17.278999999999996
2000-02-08,19.563250000000025,21.128000000000043,17.82800000000003
2000-02-09,20.891500000000022,25.011000000000024,18.547000000000025
2000-02-10,22.400125000000024,25.531000000000006,20.536
2000-02-11,21.69050000000002,23.29400000000004,20.20300000000003
2000-02-12,21.51300000000002,24.128000000000043,18.863
2000-02-13,21.998375000000024,24.522000000000048,20.569000000000017
2000-02-14,23.20375000000002,27.41700000000003,19.087000000000046
2000-02-15,23.06375000000002,27.673000000000002,18.982000000000028
2000-02-16,20.354750000000024,22.096000000000004,18.277000000000044
2000-02-17,17.482500000000016,18.05000000000001,16.91700000000003
2000-02-18,18.345125000000017,21.329000000000008,16.081000000000017
2000-02-19,18.516875000000027,20.708000000000027,16.927999999999997
2000-02-20,20.054875000000024,23.825000000000045,17.67100000000005
2000-02-21,21.064375000000013,26.86500000000001,17.165999999999997
2000-02-22,21.86125000000002,25.540999999999997,19.12700000000001
2000-02-23,22.59762500000003,27.15500000000003,18.71700000000004
2000-02-24,22.481625000000022,26.210000000000036,19.747000000000014
2000-02-25,21.967375000000033,25.099000000000046,19.587000000000046
2000-02-26,21.39925000000003,24.86500000000001,18.347000000000037
2000-02-27,22.32025000000003,25.366000000000042,19.858000000000004
2000-02-28,22.92250000000002,26.513000000000034,19.86500000000001
2000-02-29,22.85575000000002,28.285000000000025,18.704000000000008
2000-03-01,22.45875000000003,27.093000000000018,19.871000000000038
2000-03-02,21.80012500000003,26.091000000000008,18.551000000000045
2000-03-03,21.69325000000002,26.810000000000002,18.40700000000004
2000-03-04,22.47237500000002,28.52800000000002,18.522000000000048
2000-03-05,23.545500000000025,28.694000000000017,19.855000000000018
2000-03-06,23.11275000000002,29.03400000000005,18.682000000000016
2000-03-07,21.287875000000014,22.515000000000043,19.430000000000007
2000-03-08,18.435625000000016,19.939999999999998,17.101
2000-03-09,17.675750000000022,21.75200000000001,14.441000000000031
2000-03-10,18.221750000000014,21.387,16.019000000000005
2000-03-11,18.417000000000023,21.004999999999995,16.836000000000013
2000-03-12,18.594750000000026,21.741000000000042,16.608000000000004
2000-03-13,18.629375000000017,23.192000000000007,14.28000000000003
2000-03-14,18.708625000000033,23.797000000000025,14.172000000000025
2000-03-15,19.467750000000017,22.545000000000016,16.991000000000042
2000-03-16,21.60750000000003,25.436000000000035,19.722000000000037
2000-03-17,22.131500000000024,25.423000000000002,20.10300000000001
2000-03-18,21.486000000000033,24.357000000000028,19.90500000000003
2000-03-19,19.146750000000026,20.878000000000043,18.022000000000048
2000-03-20,18.754875000000013,21.016999999999996,17.310000000000002
2000-03-21,19.71287500000001,22.057000000000016,18.230000000000018
2000-03-22,20.17287500000002,21.498000000000047,18.994000000000028
2000-03-23,20.58900000000002,23.81800000000004,18.38900000000001
2000-03-24,22.364000000000026,26.13100000000003,20.05600000000004
2000-03-25,21.378750000000025,22.951000000000022,19.95500000000004
2000-03-26,20.417000000000016,23.45300000000003,18.692000000000007
2000-03-27,22.16425000000003,26.16500000000002,19.40900000000005
2000-03-28,22.20675000000002,25.700000000000045,20.54000000000002
2000-03-29,19.022000000000027,20.097000000000037,17.996000000000038
2000-03-30,18.99637500000003,20.71900000000005,17.763000000000034
